,tweet
13, संयुक्त महाराष्ट्राच्या लढाईतील निष्ठावान सैनिक उपेक्षितांच्या हक्कांसाठी लढणाऱ्या सामाजिक कार्यकर्त्या तसंच ज्येष्ठ पत्रकार दिनु रणदिवे यांच्या पत्नी सविताताई रणदिवे यांच्या निधनानं सामाजिक पुरोगामी चळवळीतील आदर्श व्यक्तिमत्व पडद्याआड गेलं आहे त्यांना भावपूर्ण श्रद्धांजली 
14, काँग्रेसने मराठा व मुस्लिम आरक्षण हे इतर कोणत्याही समाजाचा हक्क हिरावून न घेता प्रस्तावित केले असतानाही जाणिवपूर्वक मराठा समाजाचे इतर समाजाबरोबर शत्रुत्व व्हावे अशी वक्तव्ये सरकारकडून होत आहेत मराठा समाज अन्य समाजांनी मिळून परस्पर सामंजस्याने हा कुटील डाव हाणून पाडावा 
15, आदरणीय जी मुंबई महापालिकेच्या निवडणुकीदरम्यान वांद्र्याचे साहेब त्यांचे मेहूणे आणि सचिव हे मुंबंई महापालिकेतल्या रस्ते नालेसफाई टॅबलेट घोटाळ्याचे सूत्रधार आहेत असे म्हणाले होते महापालिका निवडणूकीनंतर अचानक शांत का बरं झाले 
16, आपल्या सशक्त अभिनयाने मराठी आणि हिंदी चित्रपटसृष्टीत स्वत ची वेगळी ओळख निर्माण करणा या ज्येष्ठ अभिनेत्री आशालता वाबगावकर यांच्या निधनाचे वृत्त अत्यंत दुःखद आहे त्यांना माझी भावपूर्ण श्रद्धांजली 
17, महाराष्ट्राला कर्जबाजारी करणारे विकासगंगा आणण्याची भाषा करतात यांना लाज कशी वाटत नाही राज्य भरमसाठ कर्जाखाली दबलंय लाख कोटींवर असणारं कर्ज  चं सरकार येताच लाख कोटींवर पोहोचलंय गेल्या वर्षात लाख कोटींची भर पडलीय 
18, सत्तेत येण्यापुर्वी तरुणांना ठोस रोजगार देण्याचं स्वप्न दाखवलंत अजूनही नोकर भरतीची गाजरं दाखवतच आहात आणि आता म्हणताय सरकारी नोकरी हवी कशाला वाह रे वाह येत्या निवडणुकीत तरुणाई तुम्हाला विचारेल तुमचं सरकार हवंय कशाला 
19, अवकाळीग्रस्त शेतकर्यांना रूपये आणि रूपये देण्याचा अजूनही कोणताही शब्द देण्यास राज्य सरकार तयार नाही त्याचा तीव्र निषेध करीत विधानसभेत आज भाजपा सदस्यांनी सभात्याग केला 
20, नाशिक जिल्ह्यातील भरवस ता निफाड येथील लष्करी जवान सागर चौधरी यांना आज श्रीनगर येथे झालेल्या चकमकीत वीरमरण आले भारतमातेच्या या सुपुत्रास शतशः नमन शहिद 
21, मित्रा डॉ चित्तरंजन भावे यांच्या दुर्दैवी मृत्यूचे आम्हाला दुःख आहे एका कर्तव्यदक्ष आणि अतिशय चांगल्या डॉक्टरांना आपण कोरोनामुळे मुकलोय परंतु त्यांना दहा तास बेड मिळाला नाही ही बातमी चुकीची आहे असे त्यांच्या मुलीनेच सांगितले आहे 
22, समाजवादी चळवळीतील ज्येष्ठ नेते मोहम्मद खडस यांचे दीर्घ आजाराने निधन झाले मराठवाडा नामांतर आंदोलनात त्यांनी सक्रिय सहभाग घेतला होता दलित आणि उपेक्षितांच्या हक्काच्या चळवळीतील आंदोलनात ते कायम अग्रभागी राहिले होते त्यांना भावपूर्ण श्रद्धांजली 
23, यवतमाळच्या मुळावातील वर्षांच्या मागासवर्गीय विद्यार्थिनीवर नराधमाने बलात्कार करून तिला ठार मारण्याचा अमानुष गुन्हा केला आहे या गुन्ह्याचा तीव्र निषेध आरोपीला फाशीची शिक्षा व्हावी बळीत मुलीच्या कुटुंबाला मदतीसाठी मुख्यमंत्र्यांशी बोलणार आहे 
24, महाजनादेश यात्रा निर्धार वृक्ष तोडीचा 
25, मुंबईतील नालेसफाईच्या कामात प्रचंड भ्रष्टाचार झाल्याने मुंबई पाण्याखाली गेली बिल्डर आपल्या फायद्यासाठी बीएमसीच्या अधिकाऱ्यांना हाताशी धरुन नाल्यावर अतिक्रमणे करतात मात्र त्यावर कारवाई होत नाही यासंदर्भात संसदीय संयुक्त समिती द्वारे चौकशी करण्याची मागणी आम्ही लावून धरली 
26, राज्यातली ‘कोरोना’ रुग्णांची वाढती संख्या चिंताजनक आहे या पार्श्वभूमीवर भाजी खरेदीसाठी सकाळच्या बाजारात उसळणारी गर्दी बघितल्यानंतर ‘टाळाबंदी’चा उद्देशच धोक्यात आला आहे जनतेनं घराबाहेर पडून अनावश्यक गर्दी करणं सुरूच ठेवलं तर सद्यस्थितीचा पुनर्विचार करून कठोर उपाय योजावे लागतील 
27, दवडीपार येथे अनेक घरांचे नुकसान झाले आहे येथील पंचनामे तत्काळ होण्याची गरज आहे ही अवस्था पाहून मन सुन्न होतं 
28, जनादेशाचा विश्वासघात करून सत्तेत आलेल्या सरकारने खरे तर शेतकऱ्यांना तातडीने मदत देण्याची गरज होती पण ती अपेक्षा फोल ठरली मा राज्यपाल महोदयांनी राष्ट्रपती राजवटीच्या काळात जी मदत जाहीर केली त्याव्यतिरिक्त शेतकऱ्यांना काहीही मिळालेले नाही 
29, राजा तुला तुझे स्वत चे नावही नाही मग बोलण्यात काय अर्थ आहे 
30, श्री जॉर्ज फर्नांडिस यांच्या निधनाने सच्चा समाजवादी सच्चा मानवतावादी प्रेरणादायी व्यक्तिमत्व हरपले 
31, आणि च्या तुलनेत स्टेट बोर्डाचे विद्यार्थी पुढील प्रवेशासाठी स्पर्धेत कसे टिकतील मूठभर खाजगी संस्थाचालकांची मक्तेदारी असलेल्या व भरमसाठ फी घेणाऱ्या आणि बोर्डाचे महत्त्व वाढवण्याचा शिक्षणमंत्र्यांचा हा डाव तर नाही ना 
32, शेतकऱ्यांनी पंतप्रधानांना पाठवलेला रु चा धनादेश म्हणजे त्यांनी सरकारविरुद्ध वाजवलेलं नाराजीचं बिगुल आहे शेतकऱ्यांच्या उडवलेल्या थट्टेची किंमत आगामी निवडणुकांतल्या पराभवातून चुकवावी लागेल आजपर्यंत सरकारनं दिलेल्या झटक्यांची परतफेड जनता करणार 
33, भाजप सरकारने असंवेदनशीलतेची परिसीमा गाठली आहे धर्मा पाटील यांनी शासनाच्या अन्यायकारक व अनागोंदी कारभाराला कंटाळून मंत्रालयात आत्महत्या केली आता मुख्यमंत्र्यांच्या धुळे जिल्ह्याच्या दौऱ्यावेळी धर्मा पाटील यांच्या विधवा पत्नी सखूबाई यांना कोठडीत डांबण्यात आले 
34, साल्या शेतकऱ्यांतर्फे व अच्छे दिनचर्या प्रतिक्षेत त्रस्त झालेल्या गोरगरीब जनतेतर्फे भाजपा प्रदेशाध्यक्ष रावसाहेब दानवे यांना मानाचा त्रिवार मुजरा 
35, सरकारने जून रोजी काढलेल्या शासन निर्णयात मध्यम मुदतीचे कर्ज अंतर्भूत होते मध्यम मुदतीच्या कर्जांमध्ये अंतर्भूत असलेली सर्व कर्जे खाली दिली आहेत यामध्ये इमूपालन पॉलीहाऊस यासाठीच्या कर्जांचासुद्धा समावेश आधीच आहे त्यामुळे ही जुमलेबाजी नसेल ही अपेक्षा 
36, सत्ताधाऱ्यांनी उपकाराची भाषा आजपर्यंत वापरली अरे ज्यांच्या उपकारावर तुम्ही सत्तेवर आहात त्यांचे तुम्ही काय उपकार फेडणार कर्जमाफीच्या बाता मारून शेतकऱ्यांना फसवू नका आमचा हक्क आम्ही मागतोय तुमच्या सत्तेचे आम्ही लाचार नाही 
37, गोड बातमी देणार म्हणत म्हणत चणे फुटाणे किती काळ देत राहणार उद्याही मुनगंटीवारजी आणि चंद्रकांत पाटील साहेब राज्यपालांना माहिती देण्यासाठी चालले सत्तास्थापनेचा दावा करण्यासाठी नव्हे भाजपाच्या विखारी राजकारणामुळेच ही हतबलता आली आहे 
38, संकटकाळी स्थलांतरित मजूरांना मदत करण्यासाठी राज्य सरकारला मदत करण्याऐवजी हीन राजकारण करणाऱ्या यांनी राजीनामा दिला पाहिजे एकतर त्यांना रेल्वे विभाग हाताळता येत नाही गरिबांना भारतदर्शन करवलं जात आहे दुसरं ही व्यक्ती भयंकर खोटे बोलते 
39, अनेक तज्ज्ञांनी आपल्याला येत्या काळात कोरोनासोबत जगावे लागेल असे मत व्यक्त केले आहे राज्यातील ज्या जिल्ह्यांत कोरोनाचे रुग्ण वाढत आहेत त्या जिल्ह्यांतील सर्व प्रमुखांची बैठक घेऊन समस्या जाणून त्यावर मार्ग काढण्याचा आमचा प्रयत्न आहे 
40, आणि त्या स्टेडियम ची अवस्था आज अशी झालेली आहे कुठल्याही खेळाला अनुकूल ते स्टेडियम राहिलेले नाही म्हणूनच सोलापूर युवक काँग्रेसच्या युवकांनी तिथे क्रिकेट खेळून निषेध व्यक्त केला काय ह्या स्टेडियमच्या दुरुस्तीचा खर्च भाजपा उचलेल की कर्जबाजारी महाराष्ट्र सरकार वरच बोजा टाकणार 
41, विश्वासघाताने तयार झालेल्या या सरकारने पहिला विश्वासघात अवकाळी पावसाने त्रस्त शेतकर्यांचा केला त्यांना मदत दिली नाही दुसरा विश्वासघात कर्जमाफीतून त्यांना वगळून केला आणि आता रूपयांत भोजन देण्याचे सांगून त्यालाही अटी लावल्या 
42, बैलजोडीत काही बैलं नाठाळ असतात नांगरणी करताना काही बैल वाकडे चालतात मग आपण त्यांच्या जागेची अदलबदल करतो तरी तो नाठाळ बैल तसाच वागला तर त्याला आठवड्याचा बाजार दाखवतो आज हे बैल तसेच झाले आहेत मतदानाच्या दिवशी यांना बाजार दाखवा जालना 
43, लातूर जिल्हा काँग्रेस कमिटीचे माजी अध्यक्ष व ज्येष्ठ काँग्रेस नेते अॅड त्रिंबकदास झंवर यांचे दुःखद निधन झाले माझ्यावर त्यांचा विशेष स्नेह होता अनेकदा कृषी व ग्रामीण विषयांवर भूमिका घेताना मी त्यांचे मार्गदर्शन घेत असे काँग्रेसचा निष्ठावंत सैनिक गेला भावपूर्ण श्रद्धांजली 
44, या सरकारचे डोके ठिकाणावर आहे का भयंकर आहे हे 
45, निवडणूक जाहीरनामे म्हणजे कागदाचे तुकडे सर्वोच्च न्यायालयाचे सरन्यायाधीश जे एस केहर मग भाजप चा जाहिरनामा म्हणजे 
46, बरोबर निवडणूक लढणार नाही असे म्हणणा या जींचा अचानक बदललेला निर्णय च्या कागदपत्रांमुळे तर नाही 
47, छत्रपती शिवाजी महाराजांनी बारा बलुतेदारांना अठरा पगड जातींना सोबत घेत हिंदवी स्वराज्याची स्थापना केली व्यवस्थेला लढा दिला पण मनुने समाजात वर्णवाद निर्माण केला व्यवस्था निर्माण होताना प्रत्येकाच्या मनात एक विखार निर्माण केला त्याला पाठीशी घालण्याचा सरकार प्रयत्न करतंय का 
48, मराठा आणि दलित समाजात भांडण लावायची नंतर दोन्ही समाजांच्या आंदोलन करणाऱ्या नेत्यांना मॅनेज करायचे हा सरकारचा उद्योग आहे वाघाच्या गुहेत घेऊन जाणाऱ्या कोल्ह्यांपासून जनतेने सावध राहावे 
49, बापू नाडकर्णी यांच्या निधनाने भारतीय क्रिकेटमधला एक उमदा अष्टपैलू खेळाडू हरपला सलग निर्धाव षटकांच्या विक्रमामुळे त्यांना जगातला सर्वात कंजूष फिरकी गोलंदाज म्हटलं गेलं बापू नाडकर्णी यांच्या निधनाने क्रिकेटच्या एका युगाचाच अंत झाल्याची खंत वाटते त्यांना भावपूर्ण श्रद्धांजली 
50, पुणे शहरात तसंच मावळ आंबेगाव जुन्नर खेड वेल्हे मुळशीसह इतर तालुक्यातही वादळानं मोठं नुकसान केलं आहे घरं शाळा अंगणवाड्या गुरांचे गोठे भाजीपाल्याची पिकं फळबागांचं झालेलं नुकसान प्रचंड आहे पोल्ट्री शेड कांदा चाळी पॉली हाऊसचे पत्रे उडून गेल्याचे प्रकार घडले आहेत 
51, दुष्काळाबाबत निसर्गापेक्षा सरकारनिर्मित सुलतानी संकट मोठे असून शेतकऱ्यांना कोणताही दिलासा न देऊन शेतकरी वर्गाबाबत हे सरकार निर्ढावलेले असल्याचे आणि यांची कातडी गेंड्यालाही लाजवेल अशी असल्याचे आज अधिवेशनातून स्पष्ट झाले आहे हिवाळीअधिवेशन 
52, भूमाफिया राजकीय दबावाने समाजकल्याणाच्या जमिनी बळकावत असून पो उपायुक्त परिमंडळ तक्रार घेण्यास टाळाटाळ करतात या विरोधात सायन पोलीस ठाण्यासमोर उपोषणाला बसलेल्या भाजप आमदार प्रसाद लाड यांची भेट घेऊन त्यांना उपोषण मागे घेण्याची विनंती केली त्यानंतर त्यांनी उपोषण सोडले 
53, पुलवामा येथे दहशतवाद्यांशी लढताना महाराष्ट्राचे सुपुत्र सुनिल काळे यांना हौतात्म्य आले मी त्यांच्या कुटुंबियांच्या दुःखात सहभागी आहे जय हिंद 
54, गिरीश महाजन म्हणतात की हल्लाबोल आंदोलनाबाबत आम्हाला माहिती नाही सर्व प्रांताध्यक्षांना तहसीलदारांना याबाबत निवेदन दिले आहे महाजन असं म्हणत असतील तर मंत्रालय व स्थानिक पातळीवर संवाद नाही हे दिसून येते साली जनता नक्कीच आमची दखल घेईल व या सरकारला बेदखल करेल 
55, महाराष्ट्रातील कोल्हापूर मधून मुख्यमंत्र्यांनी केला कर्नाटक भाजपाचा प्रचार कर्नाटक मधून आलेल्या कन्नड जनतेला मोदींचा विकास दिसला नव्हता आता कळलाही नाही 
56, भाजपकडून वेळोवेळी आदर्श आचारसंहितेचे उल्लंघन होत आहे या फेसबुक पेजद्वारे पंतप्रधान नरेंद्र मोदी यांना मतदान करण्यासाठी विविध प्रलोभने दिली जात आहे वेळोवेळी निदर्शनास आणून देखील कारवाई केली जात नाही आतातरी यावर काही कारवाई करणार का 
57, याचाच अर्थ झालेल्या एकूण चाचण्यांमध्ये पॉझिटिव्ह येणार्या रूग्णांचे प्रमाण हे देशाच्या तुलनेत महाराष्ट्रात तीनपट अधिक आहे आणि मुंबईत ते त्याहून अधिक आहे अशात एकाच व्यक्तीच्या झालेल्या अनेक चाचण्यांची संख्या वजा केली तर मुंबईत पॉझिटिव्हीटीचे प्रमाण हे जवळजवळ टक्के आहे 
58, शिदोरी या च्या मुखपत्रात सावरकरांवरील लेख ऐतिहासिक सत्यावर आधारित असून सावरकरांच्या खऱ्या इतिहासाची माहिती नाही अशा जींसारख्यांचे प्रबोधन करणारा आहे अपेक्षा ही की फडणवीसजींचे डोळे उघडतील पण दुर्दैवाने सावरकरांचा त्यांना राजकारणासाठी वापर करायचा आहे 
59, ज्येष्ठ अभिनेत्री आशालताताई वाबगावकर यांच्या निधनानं रंगभूमीची प्रदीर्घ काळ सेवा करणाऱ्या चतुरस्त्र अभिनेत्रीला आज आपण मुकलो आहोत त्यांना भावपूर्ण श्रद्धांजली जीवनाच्या अखेरपर्यंत त्यांनी रंगभूमीची कलाक्षेत्राची सेवा केली त्यांचं निधन धक्कादायक आणि मनाला चटका लावणारं आहे 
60, ज्या चंद्रकांत पाटलांना स्वामिनाथन म्हणजे तामिळ अभिनेता वाटतो अशाना मुख्यमंत्र्यांनी कृषिमंत्री केले आहे हे शेतकऱ्यांचे दुर्देव आहे 
61, शरद पवार साहेब मे रोजी नाणार प्रकल्पाच्या ठिकाणी भेट देतील मुख्यमंत्री म्हणतात ला या प्रकल्पाबाबत माहिती नाही मुख्यमंत्र्यांनी हा प्रश्न शिवसेनेला विचारावा फडणवीस म्हणतात हा प्रकल्प इथे नाही झाला तर तो गुजरातला जाईल यातून मुख्यमंत्र्यांचे गुजरात प्रेमच दिसते 
62, सत्तार आळवत बसलेत नाराजीचा सूर सातव मैदान सोडून गेलेत कुठेतरी दूर हर्षवर्धन जाधवांचे सगळेच झालेय बेसूर सूने सूने झालेय एका पाटलांना इंदापूर नांदेडचे अशोकवन वाचवायला राष्ट्रीय अध्यक्षासह इंजिनाचा काळा धूर चौकीदारामुळे कितने सपने हुए चुरचुर के 
63, मुंबईतील पेडर रोड येथे भूस्खलनामुळे संपूर्ण रस्ता बंद झाला आहे केवळ वाहतूक नाही तर पाणीपुरवठा सुद्धा खोळंबला आहे या घटनास्थळाला आज भेट दिली माझे सहकारी मंगल प्रभात लोढाजी राहुल नार्वेकर आणि अन्य यावेळी उपस्थित होते 
64, ‘बेल’वर कोण आणि ‘जेल’च्या रांगेत कोण हे सर्वांना ठावूक आहे 
65,दुसरं मी स्वतः त्या कार्यक्रमाला उपस्थित नव्हतो व राष्ट्र गीताची सीडी बनविण्याची जबाबदारी ही माझी नसते तरीही कोणत्याही प्रकारची खातरजमा न करता व अधिकृत प्रतिक्रिया न घेता छापलेली सदर बातमी ही बदनामीकारक असल्याने सदर वृत्तपत्राला कायदेशीर नोटीस बजावण्यात येईल 
66, सायन हॉस्पिटल मधली घटना अत्यंत गंभीर आहे प्रेतांच्या बाजूला रुग्णांना उपचार घ्यावे लागावे ही अत्यंत गंभीर बाब आहे मुंबईकरांचा कोणीच वाली नाही का असा प्रश्न निर्माण होत आहे शासनाने तात्काळ लक्ष घालावे व अशी घटना पुन्हा होणार नाही याची खबरदारी घ्यावी 
67, राज्यातील संपत्तीवर पहिला हक्क शेतकऱ्यांचा असल्याचं वित्तमंत्र्यांनी सांगितलं गेल्या साडेचार वर्षात त्याचा कधीच अनुभव आला नाही कर्जमाफीला दीड वर्ष होऊनही लाखो शेतकऱ्यांच्या सातबाऱ्यावर बोजा कायम आहे कर्जमुक्ती वेळेत न झाल्यास हेतू व्यर्थ ठरतो त्यामुळे अर्थसंकल्प व्यर्थ आहे 
68, राज्यातील जनतेने या सरकारचे काय घोडे मारले आहे हे यांनी एकदा सांगावे पुण्यात प्रचंड पाऊस झाल्याने पूरपरिस्थिती निर्माण झाली आहे लोकांचा मृत्यू झालाय व मुख्यमंत्री दिल्लीत बसलेत पश्चिम महाराष्ट्राच्या पुरपरिस्थितीही मुख्यमंत्र्यांनी हेच केले होते 
69, मराठा आरक्षणासाठी मोर्चे लोकांनी बलिदान दिल्यानंतर आरक्षण मिळाले आता मराठा आरक्षणाविरोधात याचिका दाखल असल्याचे कारण देत कोणतीही स्थगिती नसताना नोकरीच्या नियुक्तीचे आदेश देऊ नका अशी सुचना शासनाने सर्व विभागाला दिली आहे हा मराठा समाजाच्या पाठीत खंजीर खुपसण्याचा प्रकार आहे 
70, अखिल भारतीय भिख्खू संघाचे संघानुशासक महास्थविर सद्धम्मादित्य भदंत सदानंद महाथेरो यांच्या निधनामुळे धम्म अनुशासक तसंच मानवतेच्या कल्याणासाठी कार्य करणारे महान व्यक्तिमत्व हरपले आहे त्यांचे मानवतावादी कार्य आणि विचार आपल्याला सदैव प्रेरणा देत राहतील त्यांना भावपूर्ण श्रद्धांजली 
71, सरकार समोरासमोर खोटं बोलताना पाहिले आहे का इथे पहा खुद्द राजधानी मुंबईत टमरेल घेऊन लोक‌ उघड्यावर शौचाला नव्हे तर सडा शिंपला करायला जातात 
72, ज्या राहुल गांधींच्या काँग्रेसने मुंबईतील मध्यमवर्गीय मराठी माणसाला हद्दपार केले मुंबईंचा गळा घोटला झोपडपट्टीवासीयांना केवळ चौ फुटाची घरे दिली तेच काँग्रेस आता चौ फुटाची घरे देणार म्हणे वारे वा सत्तेची चटक लागलेल्या भ्रष्टाचारी लबाडाचे हे आवतान मुंबईकरांनो ओळखा 
73, जालियनवाला बागेतील देशभक्त शहिदांचा दर्जा जेव्हा जामिया घटनेतील दंगेखोरांना महाराष्ट्रातील सरकार देते तेव्हा सरकारमधे आपले आका बसलेत असा संदेश गुन्हेगारांना मिळतो मग अधिवेशन काळात बिनधास्त नागपूरच्या महापौरांवर गोळीबार नालासोपाऱ्यात अल्पवयीन मुलीवर अत्याचार होतो निषेध 
74, मधे मुंबई महापालिकेला धोक्याच्या आर्थिक स्थितीवर “आणून दाखवले” पालिकेचे उत्पन्न घटले अखेर राखीव निधीमधून रु कोटींची उचल घ्यावी लागणार भविष्यात फिक्स डिपाँजिट मोडावे लागणार हेच का आनंदी दिवस 
75, आज नागपूर मधील काटोल विधानसभा क्षेत्रातील ओल्या दुष्काळाच्या पाहणी दौऱ्यादरम्यान चारगाव येथील शेतकऱ्यांच्या बांधावर भेट दिली यावेळी सरकारकडून काहीच मदत मिळाली नाही कोणी पाहणी करायला आले नाही पिकाला भाव नाही अशा व्यथा हवालदिल झालेल्या शेतकऱ्यांनी मांडल्या 
76, दानवे शाळा लाटतात महाविद्यालय म्हशीचा गोठा दाखवून लाटतात भूखंड लाटतात जनतेला लक्ष्मीदर्शन करवतात आता वीजबिल पण 
77, संघाच्या मनुवादी विचारांच्या मुशीतून आलेल्या देवेंद्र फडणवीस यांनी छत्रपती शाहू महाराजांना कार्यकर्ता म्हणून कमी लेखणे आश्चर्यकारक नाही संघाने मनुवाद आणायचा असल्याने महात्मा फुले शाहू महाराज व डॉ बाबासाहेब आंबेडकरांचा कायम आकस‌च केला मनातील भावना बाहेर आली एवढेच जाहीर निषेध 
