,tweet
16, आजचे कार्यक्रम सकाळी वा गारगोटी भुदरगड येथे प्रचार व भेटीगाठी सायं वाजता हुपरे सभागृह बाहुबली रोड कुंभोज ता हातकणंगले येथे सभा सायं वाजता कुरुंदवाड ता शिरोळ येथे सभा 
17, शिष्यवृत्ती प्राप्त कराड नगर परिषदेच्या शाळांमधील विद्यार्थ्यांनी आज माझी सह्याद्री अतिथीगृहावर भेट घेतली त्यांच्याशी संवाद साधला 
18, सहकार क्षेत्रातील समस्या जाणून घेण्यासाठी तसेच येणार्या काळात अपेक्षित उपाययोजनांबाबत आज सहकार क्षेत्रात काम करणार्या मान्यवरांशी व्हीडिओ कॉन्फरन्सिंगच्या मदतीने संवाद साधला चंद्रकांत दादा पाटील प्रवीण दरेकर सुभाष देशमुख ही सहभागी झाले 
19, पंतप्रधान मा जी यांनी संवाद साधलेल्या आणि गौरवलेल्या बोरामणीसह गावातील महिला शेतकऱ्यांच्या यशस्विनी शेतकरी उत्पादक कंपनीचा असा आहे प्रवास 
20, काही ऑफिसेस सकाळी वाजता सुरु करता येतील तर काही ऑफिसेस 
21, नागपूर येथे सुरू असलेल्या महाराष्ट्र विधानमंडळाच्या अधिवेशन कामकाजाचा आज दुसरा दिवस 
22, शेवटच्या स्टेजमध्ये असताना त्या रुग्णाला कोरोना असल्याचे निदान झाले रुग्णाला हृदयविकाराचाही त्रास होता माझी सांगलीकरांना विनंती आहे की आपल्याला कोरोनाची लक्षणं असेल तर ताबडतोब आपली तपासणी करून घ्या आपण वेळीच त्यावर उपचार करू 
23, बारामती मार्केट कमिटीचे माजी सभापती गुलाबराव देवकाते अप्पा यांनी भेट घेतली 
24, आजारी असाल तर दवाखान्यात जाण्याव्यतिरिक्त अजिबात घरातून बाहेर पडू नका बीमार हो तो अस्पताल जाते वक्त ही बाहर निकले 
25, जो व्यक्ती बाहेर पडेल त्याच्या हातावर स्टॅम्प लावला जाईल ज्या व्यक्तीच्या हातावर स्टॅम्प असेल त्यालाच घराबाहेर सोडणार कोरोनाचा फैलाव रोखण्यासाठी प्रशासन येत्या काळात आणखी निर्णय घेईल नागरिकांना माझे आवाहन आहे की त्यांनी प्रशासनाला योग्य ते सहकार्य करावे 
26, येडशी औरंगाबाद महामार्ग क्र येथे बीड बायपास अंतर्गत येणाऱ्या रस्त्याचे सुशोभिकरण व दुरुस्ती आवश्यक आहे याबाबत आमदार संदिप क्षीरसागर यांनी भेट घेतली जी बीड शहरासाठी हे आवश्यक असून आपणास विनंती आहे की हे काम मार्गी लावण्याच्या सुचना आपण संबंधित यंत्रणेला द्याव्या 
27, म्हणून भर थंडीतही शेतकरी पुण्याच्या रस्त्यावर मुक्काम ठोकणार 
28, अन्यथा सुपारीवाले म्हणून पाहिले जाईल खा राजू शेट्टी मे सकाळ पुणे शेतकऱ्यांची चळवळ ही 
29, बृहन्मुंबई महापालिकेच्या वतीने आयोजित महाराष्ट्रदिन कार्यक्रमालाही माझ्या मंत्रिमंडळातील सहकाऱ्यांसमवेत उपस्थित होतो 
30, मराठी पत्रकार परिषदेच्या व्या राष्ट्रीय अधिवेशनात सहभागी होताना 
31, छत्रपती शिवाजी महाराज यांच्या जयंतीनिमित्त काल माझ्या वांद्रे पश्चिम मतदार संघातील वॉर्ड क्र आणि येथे पोवाडा या कार्यक्रमाचे आयोजन करण्यात आले होते नगरसेविका रहिवाशी आणि कार्यकर्त्यांच्या उपस्थितीत हा कार्यक्रम संपन्न झाला 
32, आज जुन्नर तालुक्याचा दौरा करून निसर्ग चक्रीवादळामुळे विविध भागात झालेल्या नुकसानाची पाहणी केली दौऱ्यादरम्यान ओतूर ता जुन्नर येथील श्री संतोष डुंबरे यांच्या पॉलिहाऊसचे झालेल्या नुकसानीची पाहणी केली यावेळी जुन्नरचे कर्तव्यदक्ष युवा आमदार व ग्रामस्थ उपस्थित होते 
33, माझे मित्र श्री विजय राऊत ह्यांनी गिरीश कर्नाड ह्यांचे केलेले पेन्सिल स्केच 
34, आजच्या विजय संकल्प सभा दुपारी वाजता नागभिड गडचिरोली लोकसभा मतदारसंघ रामटेक लोकसभा मतदारसंघ सायंकाळी वाजता नरखेड सायंकाळी वाजता सावनेर याशिवाय भाजपाचे प्रदेशाध्यक्ष श्री रावसाहेब दानवेजी यांचा उमेदवारी अर्ज भरताना जालना येथे दुपारी उपस्थित असेन 
35, यापुर्वी केंद्रीय लोकसेवा आयोगाने परिक्षार्थींची सोय लक्षात घेऊन त्यांना परीक्षा केंद्र बदलण्याची मुभा दिली होती याच धर्तीवर महाराष्ट्रातही परीक्षार्थींना परीक्षा केंद्र बदलण्याची संधी द्यावी याशिवाय जिल्हानिहाय परीक्षा केंद्र उपलब्ध करावे 
36, राष्ट्रवादी काँग्रेस पक्षाच्या व्या वर्धापन दिन सोहळ्याची सुरुवात आज मुंबई येथे महाराष्ट्र प्रदेश कार्यालयात मान्यवर नेते पदाधिकारी व कार्यकर्ते यांच्या उपस्थितीत ध्वजवंदनाने झाली वर्धापनदिन 
37, दिनांक रोजी आदर्शगाव गावडेवाडी ता आंबेगाव येथे स्व शंकरराव पिंपळे आण्णा यांच्या अर्ध पुतळ्याचे अनावरण व उमाजी धोंडिबा गावडे प्रवेशद्वार उदघाटन समारंभ तसेच गावांतील विकासकामांचा भूमिपूजन कार्यक्रम पार पडला यावेळी माजी मंत्री मा शशिकांत शिंदे साहेब उपस्थितीत होते 
38, आता काटामारी रिकव्हरी चोरीवर हातोडा खासदार राजू शेट्टी निपाणी ऊस दरानंतर आता स्वाभिमानी शेतकरी संघटना 
39, पेण तालुक्यातील हेटवणे धरण तसेच महाड तालुक्यातील घुरुपकोंड पाझर तलाव खैरै धरण कोतुर्डे धरणाच्या सद्यस्थितीचा आढावा घेतला खेड येथील अपूर्ण पोयनार हालपा योजनेमुळे प्रकल्पग्रस्तांना अनेक समस्यांना तोंड द्यावे लागत आहे त्यांचे पुनर्वसन करण्याचा प्रयत्न करण्याचा निर्णय बैठकीत घेतला 
40, आज दिल्लीतील निझामुद्दीन येथील स्व शीलादीक्षित यांच्या घरी त्यांच्या पार्थीवास पुष्पचक्र अर्पण केले नरेंद्र मोदी मनमोहन सिंह सोनीयांजीसह दिल्लीतील सर्व पक्षांचे जेष्ट नेते आले होते शिलाजी पण पंतप्रधान कार्यालयाच्या राज्यमंत्री होत्या नंतर सलग तीनदा दिल्लीच्या मुख्यमंत्री 
41, नागाला शेतकऱ्यांचा मित्र मानले जाते बळीराजाच्या शेतीला नुकसानी पासून वाचवण्याचे काम नाग करतो आज नागपंचमीच्या दिवशी नागाला वाचवण्याचा संकल्प करूयात नाग पंचमी नागपंचमी 
42, नोटा नाणी वा इतर कोणतीही वस्तू हाताळल्यानंतर साबण व पाण्याने हात स्वच्छ धुवा सिक्के नोट तथा किसीभी वस्तु को छुने के बाद अपने हांथ साबुन और पानी से अच्छे तरह से धोएँ 
43, दुपारी वाजल्यापासून फेसबुक लाईव्ह 
44, वारंवार संपर्कात येणाऱ्या जागा निर्जंतुक करीत रहा बारबार संपर्क में आने वाली जगहों को सैनिटाईज करते रहिए माझे कुटुंब माझी जबाबदारी 
45, राज्यातील दुष्काळग्रस्त भागात प्रथमच शेळी मेंढ्यांसाठी चारा छावणी सुरु करणार 
46, स्वराज्यासाठी शेवटच्या श्वासापर्यंत लढणारे छत्रपती शिवाजी महाराजांचे सरसेनापती हंबीरराव मोहिते यांच्या समाधी स्थळी जाऊन दर्शन घेतले शिवस्वराज्ययात्रा 
47, पश्चिम नागपुरात महायुतीची जाहिर सभा पुन्हा आणूया आपले सरकार 
48, टोपीवाला टोपी खाली टाकीन असे म्हणत राहीला पण टाकेचना सगळी माकडं आपल्या जवळच्या टोप्या पकडून राहीली टोप्या टाकायला तयारच होईना याचा शिवसेना मंत्र्यांच्या खिश्याबाहेर न येणाऱ्या राजीनाम्यांशी काही संबंध नाही 
49, सर्वात मोठी कर्जमाफी मीमुख्यमंत्रीबोलतोय मध्ये श्री अतुल वसेकर सोलापूर व श्री प्रदीप हरबग जालना यांच्या प्रश्नाच्या अनुषंगाने 
50, घर माझे शोधाया मी वाऱ्यावर वणवण केली जे दार खुले दिसले ते आधीच निखळले होते इतकेच मला जाताना सरणावर कळले होते 
51, मुख्यमंत्री महोदय राज्यावर प्रचंड कर्ज असताना साडे चार कोटींची​ पुस्तक खरेदी कशासाठी कोण आहेत दिन दयाल उपाध्याय ते महाराष्ट्राला कळू द्या 
52, निलंग्यातही भगवी लाट महाजनादेशयात्रा 
53, च्या जवळपास साडेतीन हजार कोटी रूपयांच्या पुनर्गठीत झालेल्या कर्जाचा पहिला हप्ता जून रोजी देय होणार होता 
54, महाराष्ट्राच्या राजकारणातील गुरु शिष्याची परंपरा यशवंतराव चव्हाण शरद पवार शंकरराव चव्हाण विलासराव देशमुख आपल्याला आठवत असलेल्या अजून गुरु शिष्याच्या जोड्या सांगा 
55, वाळवा तालुका राष्ट्रवादी काँग्रेस पक्षाच्या वतीने आज विविध मागण्यांसाठी तहसील कार्यालय येथे ठिय्या आंदोलन करण्यात आले याप्रसंगी जनतेच्या समस्या जाणून घेण्याचा प्रयत्न केला 
56,यावर्षी टक्के पाऊस पडला नोव्हें पर्यंत राज्यात एकूण टँकरने पाणीपुरवठा सुरु आहेत साली टक्के म्हणजे यावर्षीपेक्षा कमी पाऊस पडला नोव्हें ला केवळ टँकर सुरु होते साली टक्केच पाऊस पडला होता नोव्हें ला टँकर सुरु होते 
57, विधानसभा निवडणूक निमित्ताने आष्टा येथे प्रचार कार्यालयाचे उद्घाटन केले याप्रसंगी कार्यकर्ते व जनतेशी संवाद साधला 
58, नाशिक लोकसभा मतदारसंघाचे संयुक्त पुरोगामी आघाडीचे उमेदवार श्री समीर भुजबळ यांचा उमेदवारी अर्ज दाखल केला हा अर्ज दाखल करताना सर्वसामान्य बेरोजगार युवक शहीद जवानाचे कुटुंब आत्महत्याग्रस्त शेतकऱ्यांचे कुटुंब यांच्या उपस्थितीत अर्ज दाखल करण्यात आला 
59, राज्यातील पाणी टंचाई परिस्थितीची प्रत्येक तालुक्यात जाऊन पाहणी करण्याचे निर्देश मा यांनी मंत्रीमंडळातील सदस्यांना दिले असून दौऱ्याचे नियोजन करण्यात येत आहे लवकरच हे दौरे सुरू होतील 
60, इंडियन बॉडी बिल्डिंग फेडरेशनचे सरचिटणीस सुरेश कदम आणि संग्राम मुसळे यांनी भेट घेतली 
61, संग्राम जगताप यांची पाथर्डी येथील सांगता सभा 
62, पुढचा महिना अतिशय महत्त्वाचा आहे अधिक काळजी घेण्याची गरज आहे वर्धा येथे व्यापार्यांकडून मोठ्या प्रमाणात चाचण्यांची मागणी होते आहे तीही जिल्हा प्रशासनाच्या निदर्शनास आणून दिली आहे 
63, जलसंपदा विभागाचे सचिव श्री घाणेकर मराठवाडा पाटबंधारे विकास महामंडळाचे संचालक डॉ शिंदे व विभागाचे प्रमुख अधिकारी उपस्थित होते तसेच इस्त्राईलचे प्रतिनिधी म्हणून श्री याकोव श्री कलमार श्री अनय जोगलेकर श्री डिगो बर्जर श्री कपोले श्री बेलसरे उपस्थित होते 
64, सरकारने मागासवर्गीय आयोगाचा अहवाल इतके दिवस लपवून ठेवण्याचे हे देखील एक कारण आहे 
65, वांद्रे पोलीस ट्रॅफिक चौकी येथे सत्यनारायण महापूजेला उपस्थित राहून दर्शन घेतले 
66, राष्ट्रवादी काँग्रेस पार्टीचा प्रत्येक कार्यकर्ता पक्षाचे बळ आहे आपल्या राष्ट्रवादी काँग्रेस पार्टीची खरी ताकद आपण सर्व चे सदस्य आहात तुम्हा कार्यकर्त्यांशी राष्ट्रवादी पक्ष अभिप्राय या अभियानांतर्गत दिनांक मे रोजी सायंकाळी वाजता महासंवाद साधणार आहे 
67, या निवडणूकीत तरी सर्व विरोधी पक्षातील नेत्यांनी आपल्या नातेसंबंधांचा पुत्रप्रेमाचा विचार न करता कार्यकर्त्यांच्या पाठीशी उभे राहिले पाहिजे आर्थिक पाठबळ हे लढवय्या कार्यकर्त्यांच्याकरिता वापरावे 
68, आज औरंगाबाद येथे माझा युवक कॉंग्रेसचा सहकारी गौरव जैस्वाल याच्या निवासस्थानी भेट दिली गौरव औरंगाबाद मध्य विधानसभा युवक कॉंग्रेसचा अध्यक्ष आहे व त्याच्या तीन पिढ्यांपासून जैस्वाल परीवार कॉंग्रेस विचारांना मानणारा परीवार आहे 
69, जाने मध्ये सीबीआयने मागितलेली परवानगी राजकीय सूडबुद्धीचा प्रकार होता डिसें मध्ये देखील सीबीआयने तत्कालीन राज्यपालांना अनुमती मागितली होती परंतु सर्वोच्च विधी तज्ज्ञांनी खटला चालविण्यासाठी सबळ पुरावे नसल्याचा अभिप्राय दिल्यामुळे तत्कालीन राज्यपालांनी परवानगी नाकारली होती 
70, कर्जमाफीचा इतके दिवस अभ्यास करुन शेवटी यांना तत्वतः हा शब्द सापडला सरसकटतत्वतःकर्जमाफी 
71, मी किती वाईट फोटोग्राफर आहे हे माझ्या मुलांनी बडबड केल्यानंतर मलाही जाणवले आज श्रेया बुगडे सारखी अत्यंत गुणी अभिनेत्री भेटल्यावर फोटो काढण्याची जबाबदारी माझ्यावर आली पण 
72, सर्व परिस्थिती लक्षात घेता नुकसानग्रस्त भागाची पाहणी करुन नुकसानीचे तातडीने पंचनामे करावेत अशी मागणी यांचेकडे केली आहे 
73, पूर्वी मागास अविकसीत भागात उद्योगांना प्रोत्साहन योजना राबवल्या जात त्या धर्तीवर राज्यात नवीन गुंतवणूक आकर्षित करण्यासाठी उद्योग वाढीसाठी नवीन सवलतींचे प्रोत्साहनपर धोरण आणणे आवश्यक वाटते 
74, सातारा जिल्ह्यातील कराड तासगांव रस्ता व पुलाचे काम लवकर करावे सातारा कोरेगांव मसवड हा रस्ता महत्त्वाचा आहे याबाबत लोकांची सारखी मागणी असते या कामांसाठी येणाऱ्या कामगारांना परवानगी देण्यात यावी तसंच खंबाटकी घाटातील बोगद्याचेही काम त्वरित पूर्ण करावे अशा सूचना केल्या 
75, मुंबई महानगर प्रदेशातील सर्व महानगरपालिका  पुणे महानगर प्रदेशातील महानगरपालिका व मालेगाव महानगरपालिका हद्द वगळता इतर सर्व रेड ऑरेंज व ग्रीन झोनमध्ये जीवनावश्यक वस्तूंच्या दुकानांसह जीवनावश्यक नसलेल्या वस्तूंची एका लेनमधील पाच दुकाने सुरू करण्यास राज्य शासनाने मान्यता दिली 
76, व्यसनमुक्ती प्रचारात सहभागी व्हा जाहीर आमंत्रण 
77, ‘कॅशलेस’ भारताची श्रमप्रतिष्ठा अलीकडच्या काळात डिजिटल इंडिया कॅशलेस भारत अशा प्रकारचे शब्द वारंवार कानावर पडत 
78, पारंपारिक शिक्षणाला कौशल्य विकासाची जोड 
79, कोरोनाविरुद्धचा सामूहिक लढा भाजपाचे प्रयत्न सरकारला सहकार्य काही लोकोपयोगी सूचना एबीपी माझा शी संवाद 
80, राखीव प्रवर्गातील विद्यार्थ्यांना वीच्या प्रवेशात जात प्रमाणपत्राची अट शिथिल करुन शाळा सोडल्याचा दाखला ग्राह्य धरावा आणि ज्या राखीव प्रवर्गास प्रमाणपत्र लागते त्यांना वर्षाची वाढीव मुदत द्यावी यासाठी शालेय शिक्षण मंत्री यांना निवेदन केले 
81, मागील वर्षी ऑक्टोबर महिन्यात वसंतदादा शुगर इन्स्टिट्यूटच्या माध्यमातून आम्ही शिष्टमंडळ घेऊन गेलो आणि युरोपियन साखरकंद मॉडेलचा अभ्यास केला भारतातही अमृतसरजवळ राणाजी शुगर्स म्हणून खासगी तत्त्वावर चाललेल्या साखरकंदापासून साखर निर्मिती करणार्या कारखान्याला भेट दिली 
82, खासदार राजू शेटटी यांच्या खासदार निधीतून बेरडमची ता वाळवा येथे सभाग्रह बांधण्यात आले सदर सभाग्रहाचे उदघाटन खासदार राजू शेटटी व मान्यवरांच्या हस्ते करण्यात आले 
83, कोल्हापूर सांगली सातारा जिल्ह्यांसह अन्य काही भागात अतिवृष्टी आणि त्यामुळे आलेल्या महापुराने नदीकाठावरील गावांमध्ये अभूतपूर्व अशी गंभीर परिस्थिती निर्माण झाली या भागाचा दौरा केला असता पूरग्रस्तांनी माझ्याशी संवाद साधून आपल्या व्यथा तसेच मागण्या माझ्यासमोर मांडल्या 
84, मी म्हटलं मार्च 
85, खार महिला समाज आणि उद्योग मंदिराच्या मेळ्याव्यास उपस्थित राहून विकास कामांची माहिती देऊन अजून विकास करण्यासाठी मत रुपी सहकार्य करण्याचे आव्हान केले 
86, माझ्या वांद्रे पश्चिम मतदार संघातील नालेसफाईच्या कामांची पाहणी करण्यास आजपासून मी सुरुवात केली आज सांताक्रूझ पश्चिम येथील एसएनडीटी नाल्यासह परिसरातील मान्सून पुर्व कामांची पाहणी केली सोबत नगरसेविका हेतल गाला उपस्थितीत होत्या 
87, दि एप्रिल रोजी महाराष्ट्र राज्य पुणे यांनी प्रधान सचिव शालेय शिक्षण यांच्याकडे पत्रान्वये या टेंडर बद्दल तीव्र आक्षेप नोंदविला होता सदर टेंडर रद्द करण्याबद्दल पत्रात विनंती देखील केली होती 
88, येथील दौरा आटोपून चंद्रपूर जिल्ह्यातील पिंपळगाव ब्रम्हपुरी येथे नुकसानीची पाहणी केली माजी मंत्री सुधीरभाऊ मुनगंटीवार चंद्रशेखर बावनकुळे डॉ परिणय फुके खासदार अशोक नेते हे यावेळी उपस्थित होते 
89, माऊली माऊली 
90, शिरूर लोकसभा मतदारसंघातील महायुतीचे उमेदवार शिवाजीराव आढाळराव पाटील यांच्या प्रचारार्थ आयोजित विजय संकल्प सभेची क्षणचित्रे 
91, इस्लामपूरमधील निशात उर्दू लायब्ररीच्या विस्तारित इमारतीचे आज उदघाटन केले 
92, लोकसभा निवडणूक साठी राष्ट्रवादी काँग्रेस पक्षाच्या उमेदवारांची पहिली यादी आम्हीराष्ट्रवादी 
93, भारताला ‘परं वैभवं नेतुमेतत् स्वराष्ट्रं’ करण्यासाठी मध्ये पुन्हा देशाला पंतप्रधान यांच्यासारख्या निर्णयक्षम नेतृत्वाची गरज आहे पंतप्रधानांनी गेल्या वर्षात विकासकामांचा धडाका लावलाय त्यामुळे संपूर्ण जगाचे लक्ष आज भारताकडे लागून आहे 
94, मजबूत राष्ट्र आणि समृद्ध महाराष्ट्र याचसाठी महाजनादेशयात्रा आजची शेवटची सभा नांदेडमध्ये 
95, माओवादावर चर्चा करताना स्वत शंकरराव चव्हाण यांनी स्वत च्या हस्ताक्षरात पानांची एक नोट लिहिली होती ती माहिती अगदी आजही सुसंगत आहे जणू उद्या येणारी परिस्थिती त्यांना दिसत होती या पद्धतीने त्यांनी दूरदृष्टी दाखविली 
96, काँग्रेसच्या वरिष्ठ नेत्यांची कर्जमाफी संदर्भात चर्चा तत्वतः अटी शर्ती अशा शब्द जंजाळात शेतक यांना न फसवता राज्यात सरसकट कर्जमाफी द्यावी 
97, तास द्वारा आयोजित महाराष्ट्राची पुढची वाटचाल आणि प्रगतीची दिशा या ई संवाद कार्यक्रमात मनोगत 
98, महादेववाडी तालुका वाळवा येथे आज वृक्षारोपण केले 
99, धुळे जिल्हा कार्यकारिणी व कार्यकर्त्यांसोबत बैठक घेऊन जिल्ह्यातील पक्षकामाचा व बुथरचनेचा आढावा घेतला पुढील काही महिन्यांत धुळ्यात महापालिकेच्या निवडणूका असून कार्यकर्त्यांनी त्यासाठी तयार राहायला हवे राष्ट्रवादी कनेक्ट ऍप चा उपयोग करून बूथ रचना अत्यंत मजबुत बांधायला हवी 
100, नागपूर जिल्ह्यातील काटोल येथे आज संध्याकाळी जाहीर सभेला संबोधित केले महाजनादेशयात्रा 
101, आजच्या नाशिक संवाद दौऱ्यात बागलाण आमदार दीपिका चव्हाण यांच्यासह 
102, सोशल डिस्टन्सिंग ही कोरोना विषाणू विरुद्धच्या युद्धात वैश्विक समूहाची सामरिक नीती बनली पाहिजे 
103,यांनी फक्त दिवस योग साधना करण्यापेक्षा नियमित करावी ज्याने स्वास्थ्य उत्तम राहील व जनतेचाही त्यांच्या योग प्रेमाबद्दल विश्वास बसेल 
104, ऑलंपिक मध्ये पदक मिळवण्याचे स्वप्न पाहणाऱ्या खेळाडूंच्या नेमकी आहे तरी काय अडचणी महाराष्ट्रातील जिल्ह्या जिल्ह्यांमध्ये तरुण क्रीडापटूंशी संवाद अभियानांतर्गत साधला जातो आहे अशाच एका औरंगाबाद येथील युवा क्रीडा संवादाच्या कार्यक्रमाची ही क्षणचित्रे 
105, न्यायालयाच्या आदेशाचे पालन करतानाच मुंबईतील नवरात्रोत्सव मंडळाना मंडप परवानगी देण्यात विलंब करण्यात येऊ नये गणेशोत्सव प्रमाणेच हाही उत्सव निर्विघ्नपणे पार पडण्यात महापालिकेने मंडळांना सहकार्य करा अशी मागणी करत आज पालिका आयुक्तांची भेट घेतली 
106, कोवीड विषाणूच्या प्रादुर्भावाच्या पार्श्वभूमीवर गुरुवार दिनांक एप्रिल रोजी सकाळी वाजता माझ्या या पेजवरून फेसबुक लाइव्हद्वारे तुमच्याशी संवाद साधणार आहे 
